tag,package,description
b,stow, link manager
b,kitty, main terminal emulator
c,iterm2, dropdown terminal emulator
b,brave-browser, brave browser
b,slack, slack
b,tree, shows outline of a directory
b,fzf, fzf
b,koekeishiya/formulae/skhd, shortcut manager
b,htop, htop
b,lazygit, lazygit
b,jq, jq
b,spotify, spotify
b,neovim, neovim
b,stylua, stylua
b,lazydocker, lazydocker
b,fontconfig, fontconfig
b,raycast, alternative to spotlight
b,asdf, tool version manager
b,gpg, gpg
b,gawk, gawk
c,telegram, telegram
c,notion, notion


